a52dec 0.8.0-2
libsoup 2.74.3-1
libsoup3 3.6.0-1
libsoxr 0.1.3-4
libspectre 0.2.12-2
libspeechd 0.11.5-2
libspelling 0.4.0-1
libsrtp 1:2.6.0-1
libssh 0.11.1-1
libssh2 1.11.0-1
libstemmer 2.2.0-2
libsynctex 2024.2-3
libsysprof-capture 47.0-1
libtar 1.2.20-7
libtasn1 4.19.0-2
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.7.0-1
libtirpc 1.3.5-1
libtool 2.5.3-1
libtorrent-rasterbar 1:2.0.10-3
libtpms 0.9.6-1
libtraceevent 1:1.8.3-1
libtracefs 1.8.1-1
libunibreak 6.1-1
libunistring 1.2-1
libunwind 1.8.1-3
libupnp 1.14.19-3
liburcu 0.14.1-1
liburing 2.7-1
libusb 1.0.27-1
libusb-compat 0.1.8-2
libusbmuxd 2.1.0-1
libutempter 1.2.1-4
libutf8proc 2.9.0-1
libuv 1.49.0-1
libva 2.22.0-1
libva-intel-driver 2.4.1-3
libva-mesa-driver 1:24.2.3-1
libvdpau 1.5-3
libverto 0.3.2-5
libvirt 1:10.7.0-2
libvirt-dbus 1.4.1-3
libvirt-glib 5.0.0-1
libvirt-storage-gluster 1:10.7.0-2
libvirt-storage-iscsi-direct 1:10.7.0-2
libvlc 3.0.21-6
libvncserver 0.9.14-3
libvorbis 1.3.7-3
libvpl 2.13.0-1
libvpx 1.14.1-1
libvterm 0.3.3-2
libwacom 2.13.0-1
libwbclient 2:4.21.0-2
libwebp 1.4.0-2
libwireplumber 0.5.6-1
libwnck3 43.0-3
libx11 1.8.10-1
libxau 1.0.11-3
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.36-2
libxcursor 1.2.2-1
libxcvt 0.1.2-2
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxdp 1.4.3-1
libxext 1.3.6-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.8-2
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.7.0-2
libxkbcommon-x11 1.7.0-2
libxkbfile 1.1.3-1
libxklavier 5.4-5
libxml2 2.13.4-1
libxmlb 0.3.19-1
libxmu 1.2.1-1
libxpm 3.5.17-2
libxrandr 1.5.4-1
libxrender 0.9.11-2
libxres 1.2.2-2
libxshmfence 1.3.2-2
libxslt 1.1.42-1
libxss 1.2.4-2
libxt 1.3.0-2
libxtst 1.2.5-1
libxv 1.0.12-2
libxxf86vm 1.1.5-2
libyaml 0.2.5-3
libyuv r2426+464c51a0-1
libzen 0.4.41-2
libzip 1.10.1-2
licenses 20240728-1
lighttpd 1.4.76-1
lilv 0.24.24-2
linux 6.11.arch1-1
linux-api-headers 6.10-1
linux-firmware 20240909.552ed9b8-1
linux-firmware-whence 20240909.552ed9b8-1
linux-headers 6.11.arch1-1
llvm 18.1.8-4
llvm-libs 18.1.8-4
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
localsearch 3.8.0-1
loupe 47.0-1
lrzip 0.651-3
lua 5.4.7-1
lua-lpeg 1.1.0-2
lua51-lpeg 1.1.0-2
lua52 5.2.4-7
luajit 2.1.1725453128-1
luit 20240102-2
lv2 1.18.10-1
lvm2 2.03.26-1
lz4 1:1.10.0-2
lzo 2.10-5
lzop 1.04-4
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
malcontent 0.12.0-1
mallard-ducktype 1.0.2-11
md4c 0.5.2-1
mdadm 4.3-2
mdk4 4.2-1
mediainfo 24.06-1
mesa 1:24.2.3-1
meson 1.5.2-1
minizip 1:1.3.1-2
mjpegtools 2.2.1-2
mkinitcpio 39.2-2
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mod_dnssd 0.6-9
moreutils 0.69-2
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.7-1
msgpack-c 6.1.0-2
msgraph 0.2.3-2
mtdev 1.1.7-1
mutter 47.0-3
nano 8.2-1
nautilus 47.0-2
nautilus-admin-gtk4 1.2.0.r0.g3cad8df-1
nautilus-open-in-blackbox 0.1.1-1
nautilus-renamer 4.0-1
nautilus-share 0.7.5-5
ncurses 6.5-3
ndctl 79-1
neon 0.33.0-1
neovim 0.10.1-5
net-snmp 5.9.4-5
net-tools 2.10-2
netavark 1.12.2-1
netpbm 10.86.42-1
netstandard-targeting-pack 8.0.8.sdk108-1
nettle 3.10-1
network-manager-applet 1.36.0-1
networkmanager 1.48.10-2
networkmanager-openvpn 1.12.0-1
nfsidmap 2.7.1-1
nftables 1:1.1.0-2
nilfs-utils 2.2.11-1
ninja 1.12.1-1
nm-connection-editor 1.36.0-1
nmap 7.95-1
nodejs 22.9.0-1
noto-fonts 1:24.9.1-1
noto-fonts-emoji 1:2.042-1
npth 1.7-1
nspr 4.35-3
nss 3.104-1
ntfs-3g 2022.10.3-1
numactl 2.0.18-1
ocl-icd 2.3.2-2
ocs-url 3.1.0-7
odt2txt 0.5-6
oniguruma 6.9.9-1
open-iscsi 2.1.10-1
open-isns 0.102-4
openal 1.23.1-2
openbsd-netcat 1.226_1-2
opencl-headers 2:2024.05.08-1
opencore-amr 0.1.6-2
openexr 3.2.4-1
openjpeg2 2.5.2-1
openmpi 5.0.5-1
openpmix 5.0.3-1
openssh 9.9p1-1
openssl 3.3.2-1
openssl-1.0 1.0.2.u-6
openssl-1.0-debug 1.0.2.u-6
openssl-1.1 1.1.1.w-2
openucx 1.17.0-1
openvpn 2.6.12-1
opus 1.5.2-1
orc 0.4.40-1
orca 47.0-1
osinfo-db 20240701-1
ostree 2024.8-1
p11-kit 0.25.5-1
p7zip 1:17.05-2
packagekit 1.3.0-1
pacman 7.0.0.r3.g7736133-1
pacman-mirrorlist 20240717-1
pahole 1:1.27-2
pam 1.6.1-3
pamac-aur 11.7.1-5
pambase 20230918-2
pandoc-cli 0.1.1.1-137
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.54.0-1
parallel 20240922-1
parallel-docs 20240922-1
partclone 0.3.32-1
parted 3.6-2
partimage 0.6.9-15
passt 2024_09_06.6b38f07-1
patch 2.7.6-10
pbzip2 1.1.13-3
pcaudiolib 1.2-3
pciutils 3.13.0-2
pcp 6.3.1-1
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
perl 5.40.0-1
perl-clone 0.47-1
perl-encode-locale 1.05-13
perl-error 0.17029-7
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 6.46-2
perl-http-negotiate 6.01-14
perl-io-html 1.004-6
perl-io-tty 1.20-2
perl-ipc-run 20231003.0-2
perl-libwww 6.77-2
perl-lwp-mediatypes 6.04-6
perl-mailtools 2.21-9
perl-net-http 6.23-4
perl-time-duration 1:1.21-2
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.29-1
perl-www-robotrules 6.02-14
perl-xml-parser 2.47-2
pigz 2.8-2
pinentry 1.3.1-5
pipewire 1:1.2.4-1
pipewire-alsa 1:1.2.4-1
pipewire-audio 1:1.2.4-1
pipewire-jack 1:1.2.4-1
pipewire-pulse 1:1.2.4-1
pixiewps 1.4.2-4
pixman 0.43.4-1
pixz 1.0.7-5
pkcs11-helper 1.30.0-1
pkgconf 2.1.1-1
podman 5.2.2-1
polkit 125-1
polkit-gnome 0.105-11
poppler 24.09.0-2
poppler-data 0.4.12-2
poppler-glib 24.09.0-2
popt 1.19-2
portaudio 1:19.7.0-3
procps-ng 4.0.4-3
protobuf 28.2-1
protobuf-c 1.5.0-7
prrte 3.0.6-1
psmisc 23.7-1
pv 1.8.14-1
python 3.12.6-1
python-aiohappyeyeballs 2.3.6-1
python-aiohttp 3.10.5-1
python-aiosignal 1.3.1-6
python-annotated-types 0.7.0-1
python-anyio 4.4.0-1
python-attrs 23.2.0-3
python-autocommand 2.2.2-6
python-build 1.2.2-1
python-cairo 1.27.0-1
python-charset-normalizer 3.3.2-2
python-click 8.1.7-3
python-dateutil 2.9.0-5
python-dbus 1.3.2-4
python-defusedxml 0.7.1-6
python-dirty-equals 0.8.0-1
python-dotenv 1.0.1-2
python-fastapi 0.115.0-1
python-fastjsonschema 2.20.0-1
python-filelock 3.13.3-2
python-frozenlist 1.4.1-2
python-fsspec 2024.9.0-2
python-gobject 3.50.0-1
python-huggingface-hub 1:0.25.1-1
python-idna 3.8-1
python-installer 0.7.0-8
python-jaraco.context 5.3.0-1
python-jaraco.functools 4.0.2-1
python-jaraco.text 4.0.0-1
python-jsonschema 4.23.0-1
python-jsonschema-specifications 2023.12.1-2
python-lxml 5.3.0-1
python-mako 1.3.5-1
python-markdown 3.7-1
python-markupsafe 2.1.5-2
python-more-itertools 10.3.0-1
python-multidict 6.0.5-2
python-nautilus 4.0-3
python-numpy 2.1.1-1
python-ordered-set 4.1.0-5
python-packaging 24.1-1
python-pillow 10.4.0-1
python-platformdirs 4.2.2-1
python-psutil 6.0.0-1
python-pydantic 2.9.2-1
python-pydantic-core 1:2.23.4-1
python-pydantic-extra-types 2.9.0-1
python-pydantic-settings 2.5.2-1
python-pygments 2.18.0-1
python-pyproject-hooks 1.1.0-1
python-pyqt5 5.15.11-1
python-pyqt5-sip 12.15.0-1
python-pystache 0.6.5-2
python-pytz 2024.2-1
python-pyxdg 0.28-3
python-referencing 0.35.1-1
python-requests 2.32.3-1
python-rpds-py 0.19.0-1
python-setproctitle 1.3.3-2
python-setuptools 1:69.5.1-1
python-six 1.16.0-9
python-sniffio 1.3.1-3
python-starlette 0.39.1-1
python-tomli 2.0.1-4
python-tqdm 4.66.5-1
python-trove-classifiers 2024.9.12-1
python-typing_extensions 4.12.2-1
python-urllib3 1.26.20-1
python-validate-pyproject 0.19-1
python-wheel 0.44.0-1
python-yaml 6.0.2-1
python-yarl 1.9.4-2
python2 2.7.18-11
python2-debug 2.7.18-11
python2-setuptools 2:44.1.1-2
qbittorrent 4.6.7-1
qemu-audio-alsa 9.1.0-2
qemu-audio-dbus 9.1.0-2
qemu-audio-jack 9.1.0-2
qemu-audio-oss 9.1.0-2
qemu-audio-pa 9.1.0-2
qemu-audio-pipewire 9.1.0-2
qemu-audio-sdl 9.1.0-2
qemu-audio-spice 9.1.0-2
qemu-base 9.1.0-2
qemu-block-curl 9.1.0-2
qemu-block-dmg 9.1.0-2
qemu-block-nfs 9.1.0-2
qemu-block-ssh 9.1.0-2
qemu-chardev-spice 9.1.0-2
qemu-common 9.1.0-2
qemu-desktop 9.1.0-2
qemu-emulators-full 9.1.0-2
qemu-hw-display-qxl 9.1.0-2
qemu-hw-display-virtio-gpu 9.1.0-2
qemu-hw-display-virtio-gpu-gl 9.1.0-2
qemu-hw-display-virtio-gpu-pci 9.1.0-2
qemu-hw-display-virtio-gpu-pci-gl 9.1.0-2
qemu-hw-display-virtio-vga 9.1.0-2
qemu-hw-display-virtio-vga-gl 9.1.0-2
qemu-hw-usb-host 9.1.0-2
qemu-hw-usb-redirect 9.1.0-2
qemu-hw-usb-smartcard 9.1.0-2
qemu-img 9.1.0-2
qemu-system-aarch64 9.1.0-2
qemu-system-alpha 9.1.0-2
qemu-system-alpha-firmware 9.1.0-2
qemu-system-arm 9.1.0-2
qemu-system-arm-firmware 9.1.0-2
qemu-system-avr 9.1.0-2
qemu-system-cris 9.1.0-2
qemu-system-hppa 9.1.0-2
qemu-system-hppa-firmware 9.1.0-2
qemu-system-loongarch64 9.1.0-2
qemu-system-m68k 9.1.0-2
qemu-system-microblaze 9.1.0-2
qemu-system-microblaze-firmware 9.1.0-2
qemu-system-mips 9.1.0-2
qemu-system-or1k 9.1.0-2
qemu-system-ppc 9.1.0-2
qemu-system-ppc-firmware 9.1.0-2
qemu-system-riscv 9.1.0-2
qemu-system-riscv-firmware 9.1.0-2
qemu-system-rx 9.1.0-2
qemu-system-s390x 9.1.0-2
qemu-system-s390x-firmware 9.1.0-2
qemu-system-sh4 9.1.0-2
qemu-system-sparc 9.1.0-2
qemu-system-sparc-firmware 9.1.0-2
qemu-system-tricore 9.1.0-2
qemu-system-x86 9.1.0-2
qemu-system-x86-firmware 9.1.0-2
qemu-system-xtensa 9.1.0-2
qemu-ui-curses 9.1.0-2
qemu-ui-dbus 9.1.0-2
qemu-ui-egl-headless 9.1.0-2
qemu-ui-gtk 9.1.0-2
qemu-ui-opengl 9.1.0-2
qemu-ui-sdl 9.1.0-2
qemu-ui-spice-app 9.1.0-2
qemu-ui-spice-core 9.1.0-2
qemu-user 9.1.0-2
qemu-vhost-user-gpu 9.1.0-2
qogir-gtk-theme 2024.05.22-1
qogir-icon-theme 2023.06.05-1
qrencode 4.1.1-3
qt5-base 5.15.15+kde+r127-1
qt5-declarative 5.15.15+kde+r25-1
qt5-location 5.15.15+kde+r7-1
qt5-quickcontrols 5.15.15-1
qt5-svg 5.15.15+kde+r5-1
qt5-translations 5.15.15-1
qt5-webchannel 5.15.15+kde+r3-1
qt5-webengine 5.15.17-7
qt5-x11extras 5.15.15-1
qt5ct 1.8-2
qt6-5compat 6.7.2-1
qt6-base 6.7.2-2
qt6-multimedia 6.7.2-1
qt6-multimedia-ffmpeg 6.7.2-1
qt6-shadertools 6.7.2-1
qt6-svg 6.7.2-1
qt6-tools 6.7.2-2
qt6-translations 6.7.2-1
qt6ct 0.9-9
r2ghidra 5.9.2-1
radare2 5.9.2-2
radvd 2.19-2
ranger 1.9.3-11
raptor 2.0.16-5
rav1e 0.7.1-1
re2 1:20240702-2
readline 8.2.013-1
reaver 1.6.6-1
rhash 1.4.4-1
rpcbind 1.2.7-1
rsync 3.3.0-2
rtkit 0.13-3
rtl8192eu-dkms 5.6.4.r302.g2fddecc-1
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 3.3.0-2
ruby 3.2.5-2
ruby-bundler 2.5.11-2
ruby-erb 4.0.4-4
ruby-eventmachine 1.2.7-7
ruby-rdoc 6.5.1.1-2
rubygems 3.4.19-1
run-parts 5.17-1
runc 1.1.14-1
rust 1:1.81.0-1
rygel 1:0.44.0-1
samba 2:4.21.0-2
sane 1.3.1-1
sassc 3.6.2-5
sbc 2.0-2
screen 5.0.0-1
sdl2 2.30.7-1
sdl2_image 2.8.2-6
sdl2_ttf 2.22.0-1
seabios 1.16.3-1
sed 4.9-3
serd 0.32.2-1
shaderc 2024.2-1
shadow 4.16.0-1
shared-mime-info 2.4-1
simple-scan 46.0-2
slang 2.3.3-3
smartmontools 7.4-2
smbclient 2:4.21.0-2
snappy 1.2.1-2
snapshot 47.0.1-2
sofia-sip 1.13.17-2
sord 0.16.16-1
sorting-algorithms-git r14.117a6e0-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
source-highlight 3.1.9-13
spandsp 0.0.6-5
spdlog 1.14.1-3
speech-dispatcher 0.11.5-2
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.15.2-1
spice-protocol 0.14.4-2
spirv-tools 2024.2-1
spotify 1:1.2.47.364-1
sqlite 3.46.1-1
squashfs-tools 4.6.1-2
squashfuse 0.5.2-1
sratom 0.6.16-1
srt 1.5.3-2
sscg 3.0.5-2
sshfs 3.7.3-2
sssd 2.9.5-5
startup-notification 0.12-8
sudo 1.9.16-1
sushi 46.0-2
svt-av1 2.2.1-1
svt-hevc 1.5.1-3
swtpm 0.8.2-1
synology-drive 3.5.1_16101-1
synology-drive-debug 3.5.1_16101-1
systemd 256.6-1
systemd-libs 256.6-1
systemd-sysvcompat 256.6-1
taglib 2.0.2-1
talloc 2.4.2-3
tar 1.35-2
tcl 8.6.14-4
tcpdump 4.99.5-1
tdb 1.4.12-1
teamviewer 15.57.3-1
tecla 47.0-1
tevent 1:0.16.1-3
texinfo 7.1.1-1
themechanger-git r46.04153a8-1
themechanger-git-debug r46.04153a8-1
themix-export-spotify-git 1.2.9.r1.gb241f9e-1
themix-full-git 1.15.1-1
themix-gui-git 1.15.1.r278.gddec4ff4-1
themix-icons-archdroid-git 1.0.3.r0.gb90779de4-1
themix-icons-gnome-colors-git 5.5.6.r0.gd2cb7eb-2
themix-icons-numix-git 24.09.18.r0.g02e5e3b2c.23.11.11.r2.gc0cdc42a6-1
themix-icons-papirus-git 20240501.r22.gb0e826bbf1-1
themix-icons-suru-plus-aspromauros-git 3.0.r0.gd43a8ec4-2
themix-icons-suru-plus-git 30.0.r2.g9bd895f32-2
themix-import-images-git 1.15.1.r278.gddec4ff4-1
themix-plugin-base16-git 1.6.1.r6.g0d50e2c-1
themix-theme-oomox-git 1.12.8.r1.g750d8302-1
thin-provisioning-tools 1.1.0-1
thunderbird 128.2.3-1
timeshift 24.06.3-1
tinysparql 3.8.0-1
tinyxml2 10.0.0-1
tk 8.6.15-1
tmux 3.4-10
tor 0.4.8.12-1
torsocks 2.4.0-1
totem 43.0-3
totem-pl-parser 3.26.6+r30+g51b8439-1
tpm2-tss 4.1.3-1
traceroute 2.1.5-1
tree-sitter 0.23.0-1
tree-sitter-c 0.23.1-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
twolame 0.4.0-4
tzdata 2024b-2
uchardet 0.0.8-3
udisks2 2.10.1-5
unace 2.5-11
unibilium 2.1.1-2
unrar 1:7.0.9-1
unzip 6.0-21
upower 1.90.6-1
usbmuxd 1.1.1-4
usbredir 0.14.0-1
usbutils 017-1
util-linux 2.40.2-1
util-linux-libs 2.40.2-1
v4l-utils 1.28.1-1
vala 0.56.17-1
vapoursynth R69-1
vde2 2.3.3-5
vid.stab 1.1.1-2
vim 9.1.0740-1
vim-runtime 9.1.0740-1
virglrenderer 1.0.1-2
virtiofsd 1.11.1-1
vlc 3.0.21-6
vmaf 3.0.0-1
volume_key 0.3.12-9
vte-common 0.78.0-1
vte3 0.78.0-1
vte4 0.78.0-1
vulkan-headers 1:1.3.295-1
vulkan-icd-loader 1.3.295-1
vulkan-intel 1:24.2.3-1
vulkan-radeon 1:24.2.3-1
w3m 0.5.3.git20230713_1-1
wavpack 5.7.0-1
wayland 1.23.1-1
webkit2gtk 2.46.0-2
webkit2gtk-4.1 2.46.0-2
webkitgtk-6.0 2.46.0-2
webrtc-audio-processing-1 1.3-3
wget 1.24.5-3
whatsapp-for-linux-git 1.6.5.r7.gc96fc1a-1
which 2.21-6
wildmidi 0.4.6-1
wine 9.18-1
winetricks 20240105-1
wireless_tools 30.pre9-4
wireplumber 0.5.6-1
wireshark-cli 4.4.0-1
wireshark-qt 4.4.0-1
wl-clipboard 1:2.2.1-2
woff2 1.0.2-5
wolfssl 5.7.2-1
wpa_supplicant 2:2.11-2
wsdd 0.8-2
x264 3:0.164.r3108.31e19f9-2
x265 3.6-1
xapp 2.8.5-1
xbitmaps 1.1.3-2
xcb-proto 1.17.0-2
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.18.4-1
xdg-desktop-portal-gnome 47.1-1
xdg-desktop-portal-gtk 1.15.1-2
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.11-3
xdg-utils 1.2.1-1
xf86-input-libinput 1.4.0-2
xf86-video-amdgpu 23.0.0-2
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.17-3
xf86-video-vmware 13.4.0-3
xkeyboard-config 2.42-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.13-1
xorg-server-common 21.1.13-1
xorg-server-xvfb 21.1.13-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.3-1
xorg-xdpyinfo 1.3.4-2
xorg-xhost 1.0.9-2
xorg-xinit 1.4.2-2
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.7-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland 24.1.2-1
xorgproto 2024.1-2
xterm 394-1
xvidcore 1.3.7-3
xxhash 0.8.2-1
xz 5.6.2-1
yajl 2.1.0-6
yay 12.4.2-1
yay-debug 12.4.2-1
yelp 42.2-2
yelp-tools 42.1-2
yelp-xsl 42.1-2
zbar 0.23.93-1
zenity 4.0.2-1
zenmap 7.95-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3.1-2
zram-generator 1.1.2-1
zstd 1.5.6-1
zvbi 0.2.42-1
zxing-cpp 2.2.1-1
